Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.87,0.40346,545.87,0.40328,545.87,0.4033
545.8702,0.40347,545.8702,0.40338,545.8702,0.40332
545.8704,0.40348,545.8704,0.40332,545.8704,0.40325
545.8706,0.40352,545.8706,0.40335,545.8706,0.40327
545.8708,0.40347,545.8708,0.40342,545.8708,0.40327
545.871,0.40348,545.871,0.40336,545.871,0.40336
545.8712,0.40355,545.8712,0.40335,545.8712,0.40331
545.8714,0.4035,545.8714,0.40331,545.8714,0.4033
545.8716,0.40344,545.8716,0.40333,545.8716,0.40329
545.8718,0.40359,545.8718,0.4033,545.8718,0.40329
545.872,0.4035,545.872,0.40332,545.872,0.40328
545.8722,0.40355,545.8722,0.40324,545.8722,0.40333
545.8724,0.4036,545.8724,0.40338,545.8724,0.40329
545.8726,0.40352,545.8726,0.40334,545.8726,0.40333
545.8728,0.40349,545.8728,0.40329,545.8728,0.4034
545.873,0.40351,545.873,0.40331,545.873,0.40334
545.8732,0.40359,545.8732,0.40334,545.8732,0.40326
545.8734,0.40361,545.8734,0.40338,545.8734,0.4033
545.8736,0.40349,545.8736,0.40338,545.8736,0.40328
545.8738,0.40353,545.8738,0.4033,545.8738,0.40336
545.874,0.4036,545.874,0.40337,545.874,0.40334
545.8742,0.40346,545.8742,0.40327,545.8742,0.4033
545.8744,0.40358,545.8744,0.40335,545.8744,0.40334
545.8746,0.40359,545.8746,0.40338,545.8746,0.40332
545.8748,0.40362,545.8748,0.40331,545.8748,0.40333
545.875,0.40349,545.875,0.40332,545.875,0.40334
545.8752,0.40355,545.8752,0.40336,545.8752,0.40332
545.8754,0.40339,545.8754,0.4033,545.8754,0.4033
545.8756,0.40349,545.8756,0.40335,545.8756,0.40334
545.8758,0.40358,545.8758,0.40339,545.8758,0.40334
545.876,0.40358,545.876,0.40337,545.876,0.40336
545.8762,0.40354,545.8762,0.40343,545.8762,0.4033
545.8764,0.40361,545.8764,0.40334,545.8764,0.40334
545.8766,0.40357,545.8766,0.40333,545.8766,0.40335
545.8768,0.40355,545.8768,0.40332,545.8768,0.40333
545.877,0.40352,545.877,0.40342,545.877,0.40335
545.8772,0.4036,545.8772,0.40328,545.8772,0.40334
545.8774,0.40362,545.8774,0.40334,545.8774,0.40333
545.8776,0.40356,545.8776,0.4033,545.8776,0.4033
545.8778,0.40365,545.8778,0.40332,545.8778,0.40336
545.878,0.40364,545.878,0.40332,545.878,0.40338
545.8782,0.40354,545.8782,0.40333,545.8782,0.40336
545.8784,0.4037,545.8784,0.40332,545.8784,0.40332
545.8786,0.40371,545.8786,0.40336,545.8786,0.40332
545.8788,0.40363,545.8788,0.40338,545.8788,0.40341
545.879,0.40368,545.879,0.40342,545.879,0.40332
545.8792,0.40366,545.8792,0.4034,545.8792,0.40337
545.8794,0.40364,545.8794,0.40341,545.8794,0.40332
545.8796,0.40367,545.8796,0.40334,545.8796,0.40331
